workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
29004959|------------------------------------1-|------------------------------------------------------------------------------------------------00101------------|------------------------------------------------------------------------------------------------------------------100100000------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------110100011111111------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------11111101-------------------|----------------------------010--------|---------------------------------011------|-----------------------------------1---|----------------------------------------------------------011---------|--------------------------------|-----|-------01-|--|-|-|
43884909|------------------------------------1-|------------------------------------------------------------------------------------------------00101------------|------------------------------------------------------------------------------------------------------------------100100110------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------110100100011010------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------11111101-------------------|----------------------------000--------|---------------------------------000------|-----------------------------------1---|----------------------------------------------------------010---------|--------------------------------|-----|-------11-|--|-|-|
53184735|------------------------------------0-|------------------------------------------------------------------------------------------------00100------------|------------------------------------------------------------------------------------------------------------------000001001------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------110000000011100------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------11111001-------------------|----------------------------000--------|---------------------------------001------|-----------------------------------1---|----------------------------------------------------------110---------|--------------------------------|-----|-------01-|--|-|-|
12147486|------------------------------------1-|------------------------------------------------------------------------------------------------01001------------|------------------------------------------------------------------------------------------------------------------100100100------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111110101111111------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------11111101-------------------|----------------------------100--------|---------------------------------000------|-----------------------------------1---|----------------------------------------------------------110---------|--------------------------------|-----|-------01-|--|-|-|
95288799|------------------------------------1-|------------------------------------------------------------------------------------------------01101------------|------------------------------------------------------------------------------------------------------------------000000100------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------110000111011011------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------11101011-------------------|----------------------------100--------|---------------------------------010------|-----------------------------------1---|----------------------------------------------------------110---------|--------------------------------|-----|-------11-|--|-|-|
13388417|--------------------------------------|-----------------------------------------------------------------------------------------------------011---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011010001110101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------00111--------------|-------------------------------1001----|------------------------------------01----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
88969196|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0000000000--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111010010001001101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------00101--------------|-------------------------------0001----|------------------------------------10----|------------------------------------1--|-------------------------------------------------------------100------|--------------------------0-----|-----|----------|--|-|-|
83934692|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0010101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011011001111111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1011----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
37234047|--------------------------------------|-----------------------------------------------------------------------------------------------------111---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011010001011101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1001----|------------------------------------01----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
75673728|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------001111011011001111101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1001----|------------------------------------01----|------------------------------------1--|-------------------------------------------------------------100------|--------------------------1-----|-----|----------|--|-|-|
27758217|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011010001001101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1001----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------100------|--------------------------0-----|-----|----------|--|-|-|
26409284|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0010101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111011011101111111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01011--------------|-------------------------------1001----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------010------|--------------------------0-----|-----|----------|--|-|-|
36282840|--------------------------------------|-----------------------------------------------------------------------------------------------------011---------|---------------------------------------------------------------------------------------------------------------------------0100101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111011010001101101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------0000----|------------------------------------11----|------------------------------------0--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
84112031|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011110011011101111111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1000----|------------------------------------01----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
73701867|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011011101011111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1000----|------------------------------------11----|------------------------------------0--|-------------------------------------------------------------110------|--------------------------0-----|-----|----------|--|-|-|
11176252|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0000101001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011000011001101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01110--------------|-------------------------------0001----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
50393801|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000101011--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011011101111101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1011----|------------------------------------01----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
25854163|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0000001011--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------001101001010101001101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01010--------------|-------------------------------0000----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------010------|--------------------------1-----|-----|----------|--|-|-|
79946969|--------------------------------------|-----------------------------------------------------------------------------------------------------111---------|---------------------------------------------------------------------------------------------------------------------------0000101011--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111111011001111101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1011----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
45948385|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000101000--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111011011001111101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01111--------------|-------------------------------1000----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------010------|--------------------------0-----|-----|----------|--|-|-|
64550381|--------------------------------------|-----------------------------------------------------------------------------------------------------101---------|---------------------------------------------------------------------------------------------------------------------------0000100001--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011010001101111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------01110--------------|-------------------------------1010----|------------------------------------10----|------------------------------------1--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
42404311|--------------------------------------|-----------------------------------------------------------------------------------------------------001---------|---------------------------------------------------------------------------------------------------------------------------0000000000--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011110010010001001001---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------00110--------------|-------------------------------1000----|------------------------------------01----|------------------------------------0--|-------------------------------------------------------------000------|--------------------------0-----|-----|----------|--|-|-|
22017073|--------------------------------------|-----------------------------------------------------------------------------------------------------100---------|---------------------------------------------------------------------------------------------------------------------------0110011010--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------101111011011111110111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------00111--------------|-------------------------------0101----|------------------------------------10----|------------------------------------1--|-------------------------------------------------------------100------|--------------------------0-----|-----|----------|--|-|-|
61386741|--------------------------------------|-----------------------------------------------------------------------------------------------------000---------|---------------------------------------------------------------------------------------------------------------------------0110101000--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111001011101111111---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------11111--------------|-------------------------------1001----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------100------|--------------------------1-----|-----|----------|--|-|-|
80343929|--------------------------------------|-----------------------------------------------------------------------------------------------------111---------|---------------------------------------------------------------------------------------------------------------------------1000101101--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011111011011001111101---------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------11111--------------|-------------------------------1101----|------------------------------------11----|------------------------------------1--|-------------------------------------------------------------001------|--------------------------0-----|-----|----------|--|-|-|
20628871|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------00010000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101011011001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1001-|-----|---------1|--|-|-|
78052957|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111011001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------110010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1001-|-----|---------1|--|-|-|
58641781|-------------------------------------0|--------------------------------------------------------------------------------------------------------011101---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101101001001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------110011--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1001-|-----|---------1|--|-|-|
68696202|-------------------------------------0|--------------------------------------------------------------------------------------------------------111101---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111011001110---------------------|------------------------------------------------------------------------------------------------------------------------------------------111000--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1000-|-----|---------1|--|-|-|
69684926|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------00010000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111010001110---------------------|------------------------------------------------------------------------------------------------------------------------------------------010010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1000-|-----|---------1|--|-|-|
12798804|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------00100000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111010001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111000--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1001-|-----|---------0|--|-|-|
60620244|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------01100000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111111111101111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1101-|-----|---------1|--|-|-|
42009170|-------------------------------------0|--------------------------------------------------------------------------------------------------------111001---|-------------------------------------------------------------------------------------------------------------------------------------00100000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111111001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------00|----------------------------------------------------------------1-----|---------------------------1000-|-----|---------1|--|-|-|
45393913|-------------------------------------0|--------------------------------------------------------------------------------------------------------111011---|-------------------------------------------------------------------------------------------------------------------------------------01000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111010001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------011100--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------00|----------------------------------------------------------------1-----|---------------------------1101-|-----|---------1|--|-|-|
74519780|-------------------------------------0|--------------------------------------------------------------------------------------------------------111101---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101111011001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111110--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1001-|-----|---------1|--|-|-|
66165175|-------------------------------------0|--------------------------------------------------------------------------------------------------------111101---|-------------------------------------------------------------------------------------------------------------------------------------01010001------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111001111111101110---------------------|------------------------------------------------------------------------------------------------------------------------------------------010110--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------11|----------------------------------------------------------------1-----|---------------------------1000-|-----|---------1|--|-|-|
30462923|-------------------------------------1|--------------------------------------------------------------------------------------------------------110101---|-------------------------------------------------------------------------------------------------------------------------------------01000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111111111101111---------------------|------------------------------------------------------------------------------------------------------------------------------------------101110--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------00|----------------------------------------------------------------1-----|---------------------------0001-|-----|---------0|--|-|-|
85730852|-------------------------------------0|--------------------------------------------------------------------------------------------------------010101---|-------------------------------------------------------------------------------------------------------------------------------------00100000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111111110011001110---------------------|------------------------------------------------------------------------------------------------------------------------------------------111111--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1000-|-----|---------1|--|-|-|
58321444|-------------------------------------0|--------------------------------------------------------------------------------------------------------110101---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------100101011010000110---------------------|------------------------------------------------------------------------------------------------------------------------------------------000000--------|-----------------------------------0---|--------------------------------------01--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------0000-|-----|---------0|--|-|-|
78937205|-------------------------------------0|--------------------------------------------------------------------------------------------------------111101---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101001011001110---------------------|------------------------------------------------------------------------------------------------------------------------------------------111111--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------00|----------------------------------------------------------------1-----|---------------------------0000-|-----|---------1|--|-|-|
13114219|-------------------------------------0|--------------------------------------------------------------------------------------------------------111001---|-------------------------------------------------------------------------------------------------------------------------------------10100000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101001010001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------111010--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------0000-|-----|---------1|--|-|-|
39100082|-------------------------------------0|--------------------------------------------------------------------------------------------------------111111---|-------------------------------------------------------------------------------------------------------------------------------------00000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------111101101010001111---------------------|------------------------------------------------------------------------------------------------------------------------------------------011000--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------00|----------------------------------------------------------------1-----|---------------------------0000-|-----|---------1|--|-|-|
53163150|-------------------------------------0|--------------------------------------------------------------------------------------------------------111001---|-------------------------------------------------------------------------------------------------------------------------------------01000000------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------011101001011001110---------------------|------------------------------------------------------------------------------------------------------------------------------------------110110--------|-----------------------------------0---|--------------------------------------11--|-------------------------------------01|----------------------------------------------------------------0-----|---------------------------1000-|-----|---------1|--|-|-|
64173932|-------------------------------------0|--------------------------------------------------------------------------------------------------------001010---|-------------------------------------------------------------------------------------------------------------------------------------01101110------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------101111111101011001---------------------|------------------------------------------------------------------------------------------------------------------------------------------001010--------|-----------------------------------1---|--------------------------------------01--|-------------------------------------01|----------------------------------------------------------------1-----|---------------------------1011-|-----|---------1|--|-|-|
